"        ","REF_survey_experience_M","   ","REF_tertiary_M","   ","REF_alt_math_M","   ","REF_alt_language_M","   ","REF_alt_ravens_M","   ","REF_alt_computer_M","   ","REF_totalpoints_M","   ","REF_feedbackpoints_M","   "
"        ","    b/se","   ","    b/se","   ","    b/se","   ","    b/se","   ","    b/se","   ","    b/se","   ","    b/se","   ","    b/se","   "
"treat_female","-0.029599","   ","0.021657","   ","0.002950","   ","-0.108935","   ","-0.085689","   ","0.075061","   ","1.023363","*  ","3.130013","***"
"        ","0.066210","   ","0.072154","   ","0.135251","   ","0.199410","   ","0.186170","   ","0.357755","   ","0.619891","   ","0.977988","   "
"treat_either","0.025348","   ","0.027611","   ","-0.028068","   ","0.073961","   ","0.061986","   ","0.574105","   ","0.972774","   ","1.679138","*  "
"        ","0.068348","   ","0.074594","   ","0.139824","   ","0.206153","   ","0.192464","   ","0.369851","   ","0.643565","   ","1.015387","   "
"treat_perf","0.082162","   ","0.039352","   ","0.133546","   ","0.041533","   ","0.153017","   ","0.915066","** ","0.283773","   ","2.056175","*  "
"        ","0.076474","   ","0.083704","   ","0.156900","   ","0.231330","   ","0.215970","   ","0.415020","   ","0.713748","   ","1.126123","   "
"perftreat_female","-0.070699","   ","0.059598","   ","-0.312900","   ","-0.078628","   ","-0.185829","   ","-0.815172","   ","-1.094104","   ","-2.702082","*  "
"        ","0.103443","   ","0.113384","   ","0.212535","   ","0.313357","   ","0.292550","   ","0.562182","   ","0.961699","   ","1.517229","   "
"perftreat_either","-0.175162","   ","-0.066242","   ","-0.069251","   ","-0.198318","   ","-0.171231","   ","-0.787508","   ","-1.370357","   ","-2.971603","*  "
"        ","0.106361","   ","0.116406","   ","0.218199","   ","0.321707","   ","0.300346","   ","0.577164","   ","0.990916","   ","1.567862","   "
"mean    ","    .235","   ","    .692","   ","    2.03","   ","    7.75","   ","    1.52","   ","    4.91","   ","    15.7","   ","    27.1","   "
"sd      ","    .425","   ","    .462","   ","    .867","   ","    1.29","   ","    1.22","   ","    2.36","   ","    3.95","   ","    6.16","   "
"N       ","     425","   ","     429","   ","     429","   ","     429","   ","     429","   ","     429","   ","     422","   ","     421","   "
