"        ","OP_makesref2","   ","OP_makesref4","   ","REF_altqual2","   ","REF_altqual4","   "
"        ","    b/se","   ","    b/se","   ","    b/se","   ","    b/se","   "
"treat_female","-0.054543","   ","-0.041905","   ","-0.245427","***","-0.271711","** "
"        ","0.054460","   ","0.074433","   ","0.078997","   ","0.105937","   "
"treat_either","0.016540","   ","-0.023943","   ","-0.207513","***","-0.231971","** "
"        ","0.055043","   ","0.070727","   ","0.078290","   ","0.100436","   "
"treat_perf","        ","   ","-0.112823","   ","        ","   ","0.012935","   "
"        ","        ","   ","0.080406","   ","        ","   ","0.117828","   "
"perftreat_female","        ","   ","-0.012548","   ","        ","   ","0.056131","   "
"        ","        ","   ","0.110849","   ","        ","   ","0.162211","   "
"perftreat_either","        ","   ","0.086329","   ","        ","   ","0.071158","   "
"        ","        ","   ","0.110126","   ","        ","   ","0.161550","   "
"N       ","     310","   ","     310","   ","     254","   ","     254","   "
"mean    ","    .821","   ","    .852","   ","     .59","   ","    .609","   "
