"        ","OP_altqual1","   ","REF_altqual1","   ","REF_altqual2","   ","OP_altqual2","   ","REF_altqual3","   ","REF_altqual4","   "
"        ","    b/se","   ","    b/se","   ","    b/se","   ","    b/se","   ","    b/se","   ","    b/se","   "
"treat_rel","-0.053050","   ","0.136142","** ","0.194169","*  ","0.046675","   ","0.133856","   ","0.116647","   "
"        ","0.059951","   ","0.064410","   ","0.115851","   ","0.081779","   ","0.087845","   ","0.148865","   "
"treat_female","        ","   ","        ","   ","0.111003","   ","        ","   ","        ","   ","-0.265591","   "
"        ","        ","   ","        ","   ","0.111925","   ","        ","   ","        ","   ","0.164651","   "
"treat_either","        ","   ","        ","   ","0.173920","   ","        ","   ","        ","   ","-0.310410","** "
"        ","        ","   ","        ","   ","0.118286","   ","        ","   ","        ","   ","0.150136","   "
"reltreat_female","        ","   ","        ","   ","-0.085053","   ","        ","   ","        ","   ","-0.012349","   "
"        ","        ","   ","        ","   ","0.157806","   ","        ","   ","        ","   ","0.216601","   "
"reltreat_either","        ","   ","        ","   ","-0.067837","   ","        ","   ","        ","   ","0.107251","   "
"        ","        ","   ","        ","   ","0.165188","   ","        ","   ","        ","   ","0.206163","   "
"Observations","     288","   ","     255","   ","     255","   ","     176","   ","     151","   ","     151","   "
